dataset,snr,method,method_name,psnr,ssim,lpips,roi_metric,roi_psnr,delta_psnr_vs_b1,delta_roi_vs_b1
DIV2K Val,-2,cnn,B1: CNN-DeepJSCC,25.005,0.7431,0.2962,roi_psnr,24.864,0.0,0.0
DIV2K Val,-2,semantic,B2: Semantic-weighted,25.014,0.7456,0.289,roi_psnr,24.899,0.009000000000000341,0.03500000000000014
DIV2K Val,-2,sira,Ours: SIRA,25.009,0.741,0.2975,roi_psnr,24.913,0.004000000000001336,0.04899999999999949
DIV2K Val,0,cnn,B1: CNN-DeepJSCC,26.409,0.7983,0.2203,roi_psnr,26.286,0.0,0.0
DIV2K Val,0,semantic,B2: Semantic-weighted,26.378,0.7989,0.2195,roi_psnr,26.252,-0.030999999999998806,-0.03400000000000247
DIV2K Val,0,sira,Ours: SIRA,26.427,0.7968,0.2216,roi_psnr,26.328,0.018000000000000682,0.04199999999999804
DIV2K Val,2,cnn,B1: CNN-DeepJSCC,27.613,0.8377,0.1663,roi_psnr,27.491,0.0,0.0
DIV2K Val,2,semantic,B2: Semantic-weighted,27.542,0.8368,0.1677,roi_psnr,27.42,-0.07099999999999795,-0.07099999999999795
DIV2K Val,2,sira,Ours: SIRA,27.62,0.8362,0.1676,roi_psnr,27.528,0.0070000000000014495,0.036999999999999034
Kodak-24,-2,cnn,B1: CNN-DeepJSCC,25.784,0.735,0.2135,roi_psnr,25.517,0.0,0.0
Kodak-24,-2,semantic,B2: Semantic-weighted,25.805,0.7375,0.2114,roi_psnr,25.496,0.021000000000000796,-0.021000000000000796
Kodak-24,-2,sira,Ours: SIRA,25.804,0.7314,0.2175,roi_psnr,25.588,0.019999999999999574,0.0710000000000015
Kodak-24,0,cnn,B1: CNN-DeepJSCC,27.137,0.7931,0.1527,roi_psnr,26.881,0.0,0.0
Kodak-24,0,semantic,B2: Semantic-weighted,27.14,0.7942,0.1522,roi_psnr,26.836,0.0030000000000001137,-0.045000000000001705
Kodak-24,0,sira,Ours: SIRA,27.153,0.7903,0.1569,roi_psnr,26.938,0.015999999999998238,0.05699999999999861
Kodak-24,2,cnn,B1: CNN-DeepJSCC,28.268,0.8348,0.109,roi_psnr,28.037,0.0,0.0
Kodak-24,2,semantic,B2: Semantic-weighted,28.257,0.8348,0.1087,roi_psnr,27.972,-0.010999999999999233,-0.06499999999999773
Kodak-24,2,sira,Ours: SIRA,28.273,0.8331,0.1109,roi_psnr,28.078,0.004999999999999005,0.04100000000000037
COCO Object ROI,-2,cnn,B1: CNN-DeepJSCC,24.813,0.7005,0.2042,object_roi_psnr,24.09,0.0,0.0
COCO Object ROI,-2,semantic,B2: Semantic-weighted,24.815,0.7031,0.2,object_roi_psnr,24.093,0.0020000000000024443,0.0030000000000001137
COCO Object ROI,-2,sira,Ours: SIRA,24.826,0.6969,0.207,object_roi_psnr,24.17,0.013000000000001677,0.08000000000000185
COCO Object ROI,0,cnn,B1: CNN-DeepJSCC,26.044,0.7555,0.1476,object_roi_psnr,25.246,0.0,0.0
COCO Object ROI,0,semantic,B2: Semantic-weighted,26.006,0.7561,0.1459,object_roi_psnr,25.213,-0.038000000000000256,-0.0329999999999977
COCO Object ROI,0,sira,Ours: SIRA,26.059,0.7528,0.1499,object_roi_psnr,25.308,0.015000000000000568,0.062000000000001165
COCO Object ROI,2,cnn,B1: CNN-DeepJSCC,27.029,0.7942,0.1078,object_roi_psnr,26.174,0.0,0.0
COCO Object ROI,2,semantic,B2: Semantic-weighted,26.957,0.7934,0.1073,object_roi_psnr,26.102,-0.07199999999999918,-0.07199999999999918
COCO Object ROI,2,sira,Ours: SIRA,27.038,0.7923,0.1095,object_roi_psnr,26.212,0.009000000000000341,0.038000000000000256
